date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:13	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202026%2023:29:15%20GMT	https://www.construprefabricadas.com/robots.txt		(from )
17:29:13	17177/17177	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:15%20GMT	https://www.construprefabricadas.com/	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/index.html	(from )
17:29:13	2238/2238	---M--	200	added ('OK')	image/x-icon	date:Mon,%2009%20May%202011%2016:39:51%20GMT	https://www.construprefabricadas.com/images/home/construp.ico	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/home/construp.ico	(from https://www.construprefabricadas.com/)
17:29:14	144877/144877	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2003:28:52%20GMT	https://www.construprefabricadas.com/includes/bootstrap4/css/bootstrap.min.css	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/includes/bootstrap4/css/bootstrap.min.css	(from https://www.construprefabricadas.com/)
17:29:14	4271/4271	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2003:20:58%20GMT	https://www.construprefabricadas.com/includes/global_new.css	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/includes/global_new.css	(from https://www.construprefabricadas.com/)
17:29:14	5072/5072	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Nov%202019%2021:56:48%20GMT	https://www.construprefabricadas.com/includes/home_new.css?v=1.1	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/includes/home_newf9e3.css	(from https://www.construprefabricadas.com/)
17:29:14	3650/3650	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2019:03:52%20GMT	https://www.construprefabricadas.com/includes/jquery.bxslider/jquery.bxslider.css	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/includes/jquery.bxslider/jquery.bxslider.css	(from https://www.construprefabricadas.com/)
17:29:14	19758/19758	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Apr%202018%2023:40:24%20GMT	https://www.construprefabricadas.com/images/logo_construcciones_prefabricadas.png	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/logo_construcciones_prefabricadas.png	(from https://www.construprefabricadas.com/)
17:29:15	11155/11155	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:16%20GMT	https://www.construprefabricadas.com/proyectos.php	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/proyectos.html	(from https://www.construprefabricadas.com/)
17:29:15	10575/10575	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:17%20GMT	https://www.construprefabricadas.com/servicios.php	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/servicios.html	(from https://www.construprefabricadas.com/)
17:29:15	9316/9316	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:17%20GMT	https://www.construprefabricadas.com/compania.php	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/compania.html	(from https://www.construprefabricadas.com/)
17:29:15	11707/11707	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:17%20GMT	https://www.construprefabricadas.com/contactenos.php	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/contactenos.html	(from https://www.construprefabricadas.com/)
17:29:16	152291/152291	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Sep%202021%2017:19:01%20GMT	https://www.construprefabricadas.com/images/whatsapp.png	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/whatsapp.png	(from https://www.construprefabricadas.com/)
17:29:16	28543/28543	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Sep%202021%2017:57:11%20GMT	https://www.construprefabricadas.com/images/facebook-circle.png	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/facebook-circle.png	(from https://www.construprefabricadas.com/)
17:29:16	19103/19103	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:18%20GMT	https://www.construprefabricadas.com/proyecto.php?id=32	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/proyectodac1.html	(from https://www.construprefabricadas.com/)
17:29:16	49821/49821	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Jun%202022%2017:58:51%20GMT	https://www.construprefabricadas.com/images/show/825048937.jpg	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/show/825048937.jpg	(from https://www.construprefabricadas.com/)
17:29:16	17717/17717	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:18%20GMT	https://www.construprefabricadas.com/proyecto.php?id=106	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/proyectoec28.html	(from https://www.construprefabricadas.com/)
17:29:17	92721/92721	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20May%202021%2019:05:33%20GMT	https://www.construprefabricadas.com/images/show/417984223.jpg	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/show/417984223.jpg	(from https://www.construprefabricadas.com/)
17:29:17	20496/20496	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:19%20GMT	https://www.construprefabricadas.com/proyecto.php?id=65	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/proyectof8d4.html	(from https://www.construprefabricadas.com/)
17:29:17	62266/62266	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Sep%202021%2022:16:11%20GMT	https://www.construprefabricadas.com/images/show/304292814.jpg	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/show/304292814.jpg	(from https://www.construprefabricadas.com/)
17:29:17	19602/19602	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:19%20GMT	https://www.construprefabricadas.com/proyecto.php?id=114	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/proyecto004c.html	(from https://www.construprefabricadas.com/)
17:29:18	92722/92722	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Sep%202021%2017:22:47%20GMT	https://www.construprefabricadas.com/images/show/277888923.jpg	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/show/277888923.jpg	(from https://www.construprefabricadas.com/)
17:29:18	20238/20238	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202026%2023:29:20%20GMT	https://www.construprefabricadas.com/proyecto.php?id=125	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/proyecto0f0e.html	(from https://www.construprefabricadas.com/)
17:29:18	83931/83931	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Aug%202021%2017:54:12%20GMT	https://www.construprefabricadas.com/images/show/671416060.jpg	C:/Users/andre/Desktop/websitesIA/construpre/www.construprefabricadas.com/images/show/671416060.jpg	(from https://www.construprefabricadas.com/)
